,名称,住所,電話番号,緯度,経度,種別
66,松月院,東京都板橋区赤塚８－４,,35.78118588,139.647822,
67,遍照寺,東京都板橋区仲宿４０,,35.75278617,139.7106153,
68,観明寺,東京都板橋区板橋３－２５,,35.75077578,139.7137144,
69,泉福寺,東京都板橋区赤塚６－３９,,35.77907327,139.6458168,
70,長徳寺,東京都板橋区大原町４０,,35.7696699,139.6971062,
71,子易神社,東京都板橋区板橋２－１９,,35.74789038,139.7091123,
72,稲荷神社,東京都板橋区若木１－１３,,35.76866985,139.6760329,
73,稲荷堂,東京都品川区北品川1-14-6,,35.6248135,139.7431679,百景
74,旧東海道のにぎわい,東京都品川区北品川1-30-9,,35.6201219,139.7425699,百景
75,品川浦と船だまり,東京都品川区東品川1-7,,35.6216083,139.7418514,百景
76,虚空蔵尊（養願寺）の縁日,東京都品川区北品川2-3-12,,35.6191503,139.7424293,百景
77,聖蹟公園（本陣跡）,東京都品川区北品川2-7-21,,35.6188087,139.7439431,百景
78,鎮守橋から新緑の荏原神社を望む,東京都品川区北品川2-30-28,,35.6171117,139.7438265,百景
79,荏原神社の天王祭<6月>,東京都品川区北品川2-30-28,,35.6171117,139.7438265,百景
80,品川神社,東京都品川区北品川3-7-15,,35.6184352,139.739616,百景
81,品川神社の例大祭<6月>,東京都品川区北品川3-7-15,,35.6184352,139.739616,百景
82,品川神社の太太神楽,東京都品川区北品川3-7-15,,35.6184352,139.739616,百景
83,東海七福神めぐり,東京都品川区北品川3-7-15,,35.6184352,139.739616,百景
84,板垣退助の墓,東京都品川区北品川3-7-15,,35.6184352,139.739616,百景
85,権現山公園,東京都品川区北品川3-9-5,,35.6185752,139.7377658,百景
86,桜の中での入学式,東京都品川区北品川3-9-30,,35.6180503,139.7379825,百景
87,子供の森公園,東京都品川区北品川3-10-13,,35.6163449,139.738229,百景
88,八ツ山橋,東京都品川区北品川4,,35.6219581,139.7357186,百景
89,新八ツ山橋から品川教会方向を望む,東京都品川区北品川4,,35.6219581,139.7357186,百景
90,原美術館,東京都品川区北品川4-7-25,,35.621822,139.735863,百景
91,桜の名所の御殿山,東京都品川区北品川1-21-8,,35.6224026,139.7410154,百景
92,東海寺大山墓地,東京都品川区北品川4-11-8,,35.617092,139.735716,百景
93,清水稲荷神社,東京都品川区北品川5-9-18,,35.619125,139.7341105,百景
94,利田神社と鯨塚,東京都品川区東品川1-7-17,,35.6211,139.7423875,百景
95,寄木神社,東京都品川区東品川1-35-8,,35.6180061,139.7458097,百景
96,天王洲公園野球場とナイター,東京都品川区東品川2-6,,35.6192282,139.7493843,百景
97,元なぎさ通り沿いの大きな柱が印象的な建物,東京都品川区東品川4-10-1 ,,35.607982,139.74576,百景
98,妙蓮寺・高木正年の墓,東京都品川区東品川4-10-1,,35.6079823,139.7457602,百景
99,天妙国寺の山門と無縁仏,東京都品川区南品川2-8-23,,35.6121706,139.7433768,百景
100,天妙国寺の墓地,東京都品川区南品川2-8-23,,35.6121706,139.7433768,百景
101,品川寺,東京都品川区南品川3-5-17,,35.6096764,139.7435325,百景
102,品川寺の江戸六地蔵,東京都品川区南品川3-5-17,,35.6096764,139.7435325,百景
103,品川寺の梵鐘,東京都品川区南品川3-5-17,,35.6096764,139.7435325,百景
104,海雲寺と千躰荒神,東京都品川区南品川3-5-21,,35.6090515,139.7439769,百景
105,清光院と奥平家墓地,東京都品川区南品川4-2-35,,35.6153006,139.7387214,百景
106,エンジュの並木のゼームス坂通り,東京都品川区南品川6-6-7,,35.6117233,139.7399187,百景
107,二日市公園,東京都品川区南品川6-7-15,,35.6114412,139.7390672,百景
108,赤レンガ造りの旧変電所,東京都品川区広町1-6,,35.6116259,139.7347885,百景
109,花房山の桜並木,東京都品川区上大崎3-10-41,,35.6310925,139.7171031,百景
110,清泉女子大学（旧島津公爵邸）,東京都品川区東五反田3-16-21,,35.6276822,139.7286883,百景
111,池田山公園,東京都品川区東五反田5-4-35,,35.6325647,139.7234275,百景
112,五反田公園の桜並木,東京都品川区東五反田5-25-1,,35.6280236,139.7241554,百景
113,かむろ坂,東京都品川区西五反田4-31-23,,35.6270846,139.7137924,百景
114,氷川神社とわき水,東京都品川区西五反田5-6-2,,35.6246924,139.7158107,百景
115,大崎副都心の街並み,東京都品川区大崎1-6-2,,35.6209385,139.7291747,百景
116,居木神社と居木橋貝塚,東京都品川区大崎3-8-20,,35.6198608,139.7251111,百景
117,八幡神社,東京都品川区東大井1-20-10,,35.6046687,139.7422995,百景
118,しながわ花海道と船だまり,東京都品川区東大井2-26-18,,35.5980076,139.7409233,百景
119,来福寺の境内,東京都品川区東大井3-13-1,,35.601805,139.7376721,百景
120,鈴ヶ森刑場跡と大経寺,東京都品川区南大井2-5-6,,35.5921478,139.7366505,百景
121,しながわ区民公園,東京都品川区勝島3-2-2,,35.5928005,139.7386532,百景
122,大井の水神社,東京都品川区南大井5-14-9,,35.5956667,139.7330283,百景
123,大井水神公園,東京都品川区南大井6-15-11,,35.5897562,139.7292483,百景
124,大井競馬場とトゥインクルレース,東京都品川区勝島2-1,,35.5908759,139.7421836,百景
125,大井競馬場前駅と運河、モノレール,東京都品川区勝島1-5-21,,35.5965364,139.7460275,百景
126,「平和の誓い」像,東京都品川区大井1-2-1,,35.6061821,139.7348915,百景
127,大井どんたく夏祭り<8月>,東京都品川区大井1-50,,35.6066015,139.7326916,百景
128,品川歴史館,東京都品川区大井6-11-1,,35.5967333,139.7301566,百景
129,鹿嶋神社,東京都品川区大井6-18-36,,35.59535,139.7300952,百景
130,大森貝塚,東京都品川区大井6-21,,35.5937946,139.7296897,百景
131,西大井駅とその周辺,東京都品川区西大井1-3,,35.6016406,139.7219703,百景
132,養玉院（如来寺）,東京都品川区西大井5-22-25,,35.5968439,139.7174766,百景
133,大仏の千灯供養,東京都品川区西大井5-22-25,,35.5968439,139.7174766,百景
134,伊藤博文公墓所,東京都品川区西大井6-10-18,,35.6003213,139.7200678,百景
135,JR東日本東京総合車両センター,東京都品川区広町2,,35.6089845,139.7310639,百景
136,林試の森,東京都品川区小山台2-6,,35.6251816,139.7011825,百景
137,武蔵小山商店街のにぎわい,東京都品川区小山3,,35.6198463,139.7053184,百景
138,小山両社祭の神輿連合渡御<9月>,東京都品川区小山6-7,,35.6146523,139.6997218,百景
139,星薬科大学,東京都品川区荏原2-2-9,,35.6176718,139.7131122,百景
140,西小山桜並木通り,東京都品川区小山5-7-1,,35.614258,139.700451,百景
141,小山八幡神社,東京都品川区荏原7-5-14,,35.6116888,139.6996331,百景
142,戸越銀座商店街のにぎわい,東京都品川区平塚1,,35.6141361,139.7149288,百景
143,旗岡八幡神社と鎌倉道,東京都品川区旗の台3-6-12,,35.6046398,139.7078298,百景
144,法蓮寺,東京都品川区旗の台3-6-18,,35.6042732,139.7081603,百景
145,旗の台伏見稲荷神社,東京都品川区旗の台5-15-2,,35.6046674,139.6994805,百景
146,カナリヤ坂,東京都品川区旗の台5-11-9,,35.6036287,139.7022192,百景
147,中延小学校の大楠と中延の森,東京都品川区中延1-11-15,,35.6125667,139.7095016,百景
148,中延商店街のにぎわい,東京都品川区東中延2,,35.6081396,139.7130264,百景
149,戸越八幡神社,東京都品川区戸越2-6-33,,35.6138141,139.7199339,百景
150,戸越公園,東京都品川区豊町2-1-30,,35.6111673,139.7223922,百景
151,上神明天祖神社,東京都品川区二葉4-4-12,,35.602482,139.7151958,百景
152,東京タワー、モノレールと海の風景,東京都品川区八潮5-5-3,,35.5998861,139.749952,百景
153,かもめ橋と京浜運河,東京都品川区八潮5-5-3,,35.5998861,139.749952,百景
154,みなとが丘ふ頭公園,東京都品川区八潮3-1,,35.5991366,139.7620567,百景
155,八潮橋,東京都品川区八潮1-4,,35.6057827,139.753407,百景
156,八潮団地から見える夕焼け,東京都品川区勝島1-4-19,,35.6004554,139.7462522,百景
157,東京モノレールと八潮団地,東京都品川区勝島1-4-19,,35.6004554,139.7462522,百景
158,八潮団地と緑道公園,東京都品川区勝島1-4-19,,35.6004554,139.7462522,百景
159,スポーツの森（大井ふ頭中央海浜公園）,東京都品川区八潮4-1,,35.5912345,139.7526691,百景
160,なぎさの森（大井ふ頭中央海浜公園）,東京都品川区八潮4-2,,35.5927536,139.7497858,百景
161,船の科学館がある風景,東京都品川区東八潮3-1,,35.6196731,139.7730742,百景
162,しながわ宿場まつり,東京都品川区北品川〜南品川,,35.61736717,139.7454267,百景
163,天王洲エリアの水辺の風景,東京都品川区東品川2,,35.622461,139.748193,百景
164,目黒川の桜,東京都品川区西五反田、東五反田、大崎、北品川,,35.61729,139.749734,百景
165,ねむの木の庭,東京都品川区東五反田5−19−5,,35.626568,139.725858,百景
166,五反田ふれあい水辺広場,東京都品川区東五反田2−9−11,,35.624344,139.726103,百景
167,しながわ水族館,東京都品川区勝島3−2−1,,35.588476,139.737501,百景
168,桜新道の桜並木,東京都品川区南大井,,35.596131,139.735612,百景
169,立会川の坂本龍馬像,東京都品川区東大井2−25,,35.598592,139.739922,百景
170,文庫の森,東京都品川区豊町1−16−23,,35.612275,139.720556,百景
171,神明児童遊園,東京都品川区二葉1−1,,35.608279,139.725514,百景
172,新幹線車両基地,東京都品川区八潮3,,35.585933,139.758827,百景
173,多田神社,東京都中野区南台3-43-1,03-3381-4376,35.682835,139.663406,
174,寳福寺,東京都中野区南台3-43-2,,35.682945,139.663315,
175,第六天堂,東京都中野区弥生町1-4-6,,35.691143,139.682037,
176,正蔵院,東京都中野区弥生町4-12-1?,,35.688824,139.672852,
177,川住行教の墓所,東京都中野区弥生町4-12-1?,,35.688824,139.672852,
178,神明氷川神社,東京都中野区弥生町4-27-30,03-3381-7629,35.686771,139.670639,
179,百度石,東京都中野区弥生町4-27-30,03-3381-7629,35.686771,139.670639,
180,成願寺,東京都中野区本町2-26-6,,35.693546,139.682083,
181,鍋島家の墓所,東京都中野区本町2-26-6,,35.693546,139.682083,
182,鈴木九郎宝篋印塔,東京都中野区本町2-26-6,,35.693546,139.682083,
183,象小屋跡,東京都中野区本町2-32,,35.695053,139.680939,
184,福寿院,東京都中野区本町3-12-9,,35.694065,139.674835,
185,本郷氷川神社,東京都中野区本町4-10-3,03-3381-6297,35.694107,139.67337,
186,本郷道改修記念碑,東京都中野区本町4-10-3,03-3381-6297,35.694107,139.67337,
187,宝仙寺三重塔跡,東京都中野区中央1-41,03-3371-7101,35.698669,139.683868,
188,明徳稲荷神社,東京都中野区中央2-52-1,,35.699059,139.676971,
189,白玉稲荷神社,東京都中野区中央2-8-24,,35.698456,139.682556,
190,宝仙寺,東京都中野区中央2-33-3,,35.698196,139.679214,
191,中野町役場跡,東京都中野区中央2-33-3,,35.698196,139.679214,
192,堀江家の墓所,東京都中野区中央2-33-3,03-3371-7101,35.698196,139.679214,
193,慈眼寺,東京都中野区中央3-33-3,,35.697674,139.672073,
194,中野氷川神社,東京都中野区東中野1-11-1,,35.701965,139.68309,
195,中野史跡碑,東京都中野区中野4-8-1,,35.707546,139.663818,
196,中野の犬屋敷,東京都中野区中野4-8-1,,35.707546,139.663818,
197,北野神社（中野）,東京都中野区中野5-8,,35.707836,139.671799,
198,龍昌寺,東京都中野区中野6-3-7,,35.708263,139.677429,
199,青原寺,東京都中野区上高田1-2-3,,35.709194,139.680573,
200,朱楽菅江の墓,東京都中野区上高田1-2-3,,35.709194,139.680573,
201,源通寺,東京都中野区上高田1-2-7,,35.708931,139.679993,
202,河竹黙阿弥の墓,東京都中野区上高田1-2-7,03-3371-8817,35.708931,139.679993,
203,高徳寺,東京都中野区上高田1-2-9,,35.708794,139.679688,
204,新井白石の墓,東京都中野区上高田1-2-9,03-3368-6947,35.708794,139.679688,
205,松源寺,東京都中野区上高田1-27-3,,35.708401,139.677795,
206,宗清寺,東京都中野区上高田1-27-6,,35.708397,139.677322,
207,保善寺,東京都中野区上高田1-31-2,,35.708408,139.676819,
208,境妙寺,東京都中野区上高田4-9-3,,35.712017,139.679596,
209,桜ケ池不動尊,東京都中野区上高田4-32-3,,35.714638,139.676987,
210,上高田氷川神社,東京都中野区上高田4-42-1,,35.714741,139.676529,
211,東光寺,東京都中野区上高田5-21-5,,35.716911,139.676193,
212,新井天神北野神社,東京都中野区新井4-14-3,03-3388-0135,35.71476,139.666428,
213,新井薬師梅照院,東京都中野区新井5-3-5,03-3386-1355,35.713654,139.667786,
214,沼袋氷川神社,東京都中野区沼袋1-31-4,03-3386-5566,35.71907,139.666611,
215,道灌杉,東京都中野区沼袋1-31-4,03-3386-5566,35.71907,139.666611,
216,貞源寺,東京都中野区沼袋2-19-28,,35.722538,139.666718,
217,禅定院,東京都中野区沼袋2-28-2,,35.720699,139.665085,
218,百観音明治寺,東京都中野区沼袋2-28-20,,35.722263,139.663864,
219,清谷寺,東京都中野区沼袋3-21-7,03-3385-8425,35.718258,139.658829,
220,哲学堂公園,東京都中野区松が丘1-34-28,,35.72274,139.675598,
221,北野神社（松が丘）,東京都中野区松が丘2-27-1,03-3338-7538,35.722324,139.671371,
222,江古田古戦場の碑,東京都中野区松が丘2-35,,35.723732,139.670898,
223,整地碑,東京都中野区松が丘2-36,,35.723652,139.669266,
224,旧野方配水塔,東京都中野区江古田1-3,,35.724327,139.674728,
225,蓮華寺,東京都中野区江古田1-6-4,,35.723621,139.673508,
226,井上円了の墓,東京都中野区江古田1-6-4,,35.723621,139.673508,
227,東福寺,東京都中野区江古田3-9-15,,35.726639,139.667542,
228,江古田氷川神社,東京都中野区江古田3-13-6,03-3386-2527,35.726944,139.666397,
229,北江古田遺跡,東京都中野区江古田3-14,,35.727409,139.665497,
230,野方第二公園西の地蔵,東京都中野区野方2-14,,35.713642,139.657043,
231,二十三夜塔,東京都中野区野方3-7,,35.717831,139.657898,
232,野方町役場跡,東京都中野区野方5-3-1,,35.718525,139.653091,
233,大和町八幡神社,東京都中野区大和町2-30-3,,35.713409,139.650879,
234,福蔵院,東京都中野区白鷺1-31-5,03-3338-0183,35.720963,139.638748,
235,鷺宮八幡神社,東京都中野区白鷺1-31-10,03-3338-8536,35.721214,139.637955,
236,御嶽神社,東京都中野区鷺宮5-12,,35.7244,139.63208,
237,杉山公園,東京都中野区本町6-15,,35.696857,139.66713,
238,城山公園,東京都中野区中野1-44,,35.70443,139.674484,
239,紅葉山公園,東京都中野区中野2-5,,35.703854,139.671417,
240,中野四季の森公園,東京都中野区中野4-12;4-13,,35.709072,139.661041,
241,平和の森公園,東京都中野区新井3-37,,35.715572,139.662277,
242,新井薬師公園,東京都中野区新井4-15;5-4,,35.715527,139.666931,
243,丸山塚公園,東京都中野区沼袋2-40,,35.723267,139.663284,
244,江古田公園,東京都中野区松が丘2-29;2-35,,35.723202,139.671021,
245,江原屋敷森緑地,東京都中野区江原町3-32,,35.732475,139.672562,
246,みずのとう公園,東京都中野区江古田1-3,,35.724327,139.674728,
247,江古田植物化石層発見の地,東京都中野区江古田１-43,,35.726376,139.670273,
248,江古田の森公園,東京都中野区江古田3-14,,35.727409,139.665497,
249,醤油屋のしいの木,東京都中野区江古田4-3-4,03-3319-9221,35.724205,139.664993,
250,桃園川緑道,東京都中野区中央1-50～中野3-13,,35.700722,139.68486,
251,追分,東京都中野区中央4-7,,35.698059,139.668732,
252,新道橋,東京都中野区新井3-38;4-32,,35.717651,139.663422,
253,オリーブ橋,東京都中野区若宮3-57;白鷺1-14,,35.720512,139.640381,
254,かせいチャンモニュメント,若宮3-16（都立家政商店街）,,35.721973,139.644775,
255,石森製粉の石臼,東京都中野区本町1-32-27,,35.696613,139.684143,
256,山政醤油醸造所（浅田醤油）レンガ塀,東京都中野区中央2-32,,35.698074,139.678253,
257,石臼塚,東京都中野区中央2-33-3,,35.698196,139.679214,
258,東京都中野区中野5-52-15（ブロードウェイ）;中野5-67-1（サンモール）,東京都板橋区35.709923,139.665665,,,
259,梅若能楽学院会館,東京都中野区東中野2-6-14,03-3363-7748,35.701553,139.682419,
260,神田川歌碑,東京都中野区中央1-13-9,,35.70155,139.68692,
261,なかのZERO,東京都中野区中野2-9-7,,35.704842,139.671417,
262,ポケットスクエア,東京都中野区中野3-21;3-22,,35.703732,139.662506,
263,中野サンプラザ,東京都中野区中野4-1-1,03-3388-1151,35.707565,139.664719,
264,なかの芸能小劇場,東京都中野区中野5-68-7,,35.709251,139.665131,
265,「たきび」の歌発祥の地,東京都中野区上高田3-26-17,,35.714027,139.674469,
266,山﨑記念中野区立歴史民俗資料館,東京都中野区江古田4-3-4,03-3319-9221,35.724205,139.664993,
267,平和の森公園多目的運動広場,東京都中野区新井3-37,,35.715572,139.662277,
268,哲学堂運動施設,東京都中野区松が丘1-34-28,,35.72274,139.675598,
269,あぶまた味噌,東京都中野区本町3-32-19,,35.697563,139.675156,
270,鍋横最中（むさしの玉屋）,東京都中野区本町4-30-14,03-3381-7012,35.69622,139.669968,
271,うの花（神宮豆腐総本店）,東京都中野区中央4-1－20,03-3381-3688,35.698383,139.670837,
272,アップルパイ、ジンジャー入りバナナブレッド計２件（PINの店）,東京都中野区中央5-1-2,03-3381-0201,35.697521,139.667007,
273,黄玉満（虎月堂）,東京都中野区中央5-40-15-103,03-3384-0082,35.70142,139.666779,
274,柿の種（かきもち処はやしや）,東京都中野区東中野3-1-1,03-3371-8848,35.706429,139.682602,
275,特製細麺トマトつけスパゲッティー（ビストログラート）,東京都中野区東中野4-9-1,03-3366-5003,35.707069,139.686081,
276,イリュージョンのナポリタン（BarILLUSIONS）,東京都中野区中野2-12-11,03-3384-7598,35.705383,139.66803,
277,ごぼうポタージュのオムライス（kurumari）,東京都中野区中野2-28-1,03-6382-7450,35.703068,139.666,
278,いちごのトライフル（クロシェットカフェ）,東京都中野区中野4-3-1,03-5343-5088,35.708858,139.66452,
279,深辛チキンカレー（BAR＆RESTAURANT天）,東京都中野区中野5-36-1,03-3387-7357,35.707294,139.667145,
280,肉まん（手作り点心また明日。）,東京都中野区中野5-52-15,03-3389-6502,35.709923,139.665665,
281,うなぎ燻製（味治）,東京都中野区中野5-57-10,03-6677-1990,35.708069,139.66684,
282,ラーメンコテ丸（薬師の大番）,東京都中野区上高田3-41-3,03-3385-1193,35.715767,139.671585,
283,キャロットケーキ（Kyle’sGoodFinds）,東京都中野区新井2-7-10,03-3385-8993,35.712315,139.665588,
284,つけそば（麺彩房）,東京都中野区新井3-6-7,03-3386-2327,35.715092,139.665192,
285,東京都中野区沼袋1-37－11,東京都板橋区35.720356,139.663513,,,
286,自家製手造りメンチカツ（中島屋精肉店）,東京都中野区若宮1-27-9,03-3330-0402,35.718788,139.650497,
287,中野みやげ噺（パティスリーふじの木）,東京都中野区若宮3-17-6,03-3330-4261,35.721966,139.644455,
288,生フルーツゼリー（フルーツパーラーサンフルール）,東京都中野区鷺宮3-1-16,03-3337-0351,35.72274,139.644165,
289,聖徳記念絵画館,東京都新宿区霞ヶ丘1-1,03-3401-5179,35.678727,139.717628,国指定重要文化財（建造物）
290,早稲田大学大隈記念講堂,東京都新宿区戸塚町1-104,03-3208-9644,35.708932,139.721583,国指定重要文化財（建造物）
291,学習院旧正門,東京都新宿区戸山3-20-1,03-3203-1901,35.707235,139.709094,国指定重要文化財（建造物）
292,太宗寺の銅造地蔵菩薩坐像　附旧像内納入品,東京都新宿区新宿2-9-2,03-3356-7731,35.689334,139.709616,東京都指定有形文化財（彫刻）
293,中井御霊神社の本殿・幣殿・拝殿,東京都新宿区中井2-29-16,03-3950-4138,35.716278,139.679991,新宿区指定有形文化財（建造物）
294,花園神社の唐獅子像,東京都新宿区新宿5-17-3,03-3209-5265,35.693554,139.705168,新宿区指定有形文化財（彫刻）
295,天龍寺の時の鐘,東京都新宿区新宿4-3-19,03-3354-1011,35.688693,139.704159,新宿区指定有形文化財（工芸品）
296,熊野神社の水鉢,東京都新宿区西新宿2-11-2,03-3343-5521,35.690512,139.688292,新宿区指定有形文化財（工芸品）
297,須賀神社の三十六歌仙絵,東京都新宿区須賀町5-6,03-3351-7023,35.685958,139.72249,新宿区指定有形文化財（絵画）
298,末広亭,東京都新宿区新宿3-6-12,03-3351-2974,35.691152,139.705892,新宿区地域文化財
299,山鹿素行の墓,東京都新宿区弁天町1,03-3209-8514,35.704937,139.7247574,国指定史跡
300,田宮稲荷神社跡,東京都新宿区左門町17,03-3351-5066,35.68548,139.721004,東京都指定史跡
301,夏目漱石終焉の地,東京都新宿区早稲田南町7,03-3205-0209,35.708604,139.725385,新宿区指定史跡
302,佐伯祐三アトリエの地,東京都新宿区中落合2-4-21,03-5988-0091,35.720863,139.69364,新宿区指定史跡
303,小泉八雲旧居跡,東京都新宿区富久町7-30,03-3351-2330,35.691418,139.717239,新宿区指定史跡
304,服部半蔵の墓,東京都新宿区若葉2-9,03-3351-0662,35.684599,139.725659,新宿区指定史跡
305,三遊亭円朝旧居跡,東京都新宿区新宿1-21,03-3209-1111,35.688881,136.713079,新宿区指定史跡
306,林芙美子終焉の地,東京都新宿区中井2-20-1,03-5996-9207,35.715782,139.684141,新宿区登録史跡
307,成子天神社の富士塚,東京都新宿区西新宿8-14-10,03-3368-6933,35.69643,139.692167,新宿区登録史跡
308,牛込城跡,東京都新宿区袋町15,03-3260-1025,35.70044,139.738241,新宿区登録史跡
309,多摩川五本松,元和泉三丁目地先,03-3430-1111,35.632433,139.33579,
310,狛江エコルマホール,狛江市元和泉１－２－１,03-3430-4106,35.633278,139.578031,
311,巨大絵手紙,狛江市元和泉１丁目,03-3430-1111,35.632978,139.577494,
312,絵手紙表示板,狛江市元和泉１丁目,03-3430-1111,35.633321,139.577728,
313,泉龍寺,狛江市元和泉1-6-1,03-3489-6778,35.63313,139.575696,
314,玉泉寺,狛江市東和泉3-10-23,03-3480-2330,35.626955,139.573943,
315,伊豆美神社,狛江市中和泉3-21-8,03-3489-8105,35.635205,139.569083,
316,多摩川,狛江市猪方４－３,,35.623493,139.576259,
317,JA東京みらい 田無支店,東京都西東京市田無町5-10-1,042-461-8047,35.731285,139.540245,
318,JA東京みらい 保谷支店,東京都西東京市泉町3-1-1,042-421-6479,35.737637,139.553134,
319,東伏見ふれあいプラザ,東京都西東京市富士町4-33-15 飯田ビル1階,042-466-1347,35.72906,139.562586,
320,東京大学大学院農学生命科学研究科附属演習林　田無演習林,東京都西東京市緑町1-1-8,042-461-1528,35.7395,139.5377,
